id_equipamento,ibge,uf,cidade,nome,responsavel,telefone,endereco,numero,complemento,referencia,bairro,cep,georef_location,data_atualizacao
26000503876,260005,PE,Abreu e Lima,CRAS I,,,RUA Rua 186 - 165,165,,De fronte ao CECOM Jerônimo Gadelha,Caetés I,53530468,"-7.918452198522668\,-34.9286699295044",2019-10-28T20:00:09.098Z
26001004579,260010,PE,Afogados da Ingazeira,CRAS - CASA DAS FAMÍLIAS,,,RUA Bela Vista - 160,160,,na antiga creche ao lado da Igreja Católica.,Padre Pedro Pereira,56800000,"-7.74289388597384\,-37.64661401510239",2019-10-28T20:00:09.101Z
26002001307,260020,PE,Afrânio,CENTRO DE REFERÊNCIA DA ASSISTÊNCIA SOCIAL,,,RUA Cel Clementino Coelho - 364,364,,Rua do escritório da Compesa,CENTRO,56360000,"-8.513729361159953\,-41.00557386875153",2019-10-28T20:00:09.104Z
26003001478,260030,PE,Agrestina,CRAS INÊS GUILHERME DE AZEVEDO LIRA,,,RUA REGINALDO PEREIRA - 0,0,,proximo ao CENTRO VOCACIONAL DE TECNOLOGIA CVT,CENTRO,55495000,"-8.448089492856052\,-35.95315940212459",2019-10-28T20:00:09.111Z
26004001913,260040,PE,Água Preta,CRAS CASA DAS FAMÍLIAS,,,PRAÇA SANTA TEREZINHA - 28,28,1º ANDAR,PRÓXIMO A IGREJA CATÓLICA.,CENTRO,55550000,"-8.707\,-35.531000000000006",2019-10-28T20:00:09.114Z
26005004575,260050,PE,Águas Belas,CRAS ZONA URBANA,,,RUA AMAZONIA - 20,20,CASA,EM FRENTE AO HOSPITAL,CENTRO,55340000,"-9.115275106803152\,-37.11782455444337",2019-10-28T20:00:09.121Z
26006002733,260060,PE,Alagoinha,CRAS CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL,,,RUA FREI JOÃO - 303,303,,ANTIGO PRÉDIO DO CONSELHO TUTELAR,CENTRO,55260000,"-8.464251553613083\,-36.77425235509873",2019-10-28T20:00:09.124Z
26007000320,260070,PE,Aliança,CRAS - Cidade,,,RUA Siqueira Campos - 120,120,,Próximo aos Correios,centro,55890000,"-7.603\,-35.230999999999995",2019-10-28T20:00:09.128Z
26007020215,260070,PE,Aliança,CRAS - Unidade Caueiras,,,PRAÇA 15 de Agosto - 50,50,,Praça 15 de Agosto,Caueiras,55890000,"-7.5976554\,-35.23088000000001",2019-10-28T20:00:09.130Z
26008015054,260080,PE,Altinho,CRAS ANTONIO CABOCLO,,,RUA LUIZ BENEVIDES DE MELO - 153,153,,proximo a USB vila nova,VILA NOVA,55490000,"-8.49087873373046\,-36.066892147064216",2019-10-28T20:00:09.132Z
26009001355,260090,PE,Amaraji,CRAS Amaraji,,,RUA 13 de maio - 25,25,CASA,,centro,55515000,"-8.383\,-35.453",2019-10-28T20:00:09.135Z
